index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
3434,Borosilicate Glass Jar/ Glass Container - Qube Fresh,"Kitchen, Garden & Pets",Storage & Accessories,Cello,249,279,Containers Sets,4.5,"Stack, store and organise your kitchen without compromising your health. Cello’s Qube Fresh food storage container is made of 100% borosilicate glass which is lighter and stronger than regular glass and is flameproof. The material used is hygienic and safe for food storage and consumption. The jar is microwave or oven safe, so you can directly put the snack-filled container in the microwave or oven without having the need to hunt for a separate microwave or oven safe bowl. Once you have consumed the snacks, you can store the snack leftovers in the same jar for preserving into the freezer. Moreover, it is much easier to wash the jar as it is dishwasher safe. Being manufactured with the best material, you do not have to worry about that the crystal clarity of the jar will be washed away after repeated usages. Minor scratches while handling the jar will not spoil the beauty of this jar since it is scratch-resistant, it can withstand minor scratches. To make sure, you do not waste much of your time for identifying the jar contents, we have made these containers that have a transparent body. It enables you to quickly identify the contents without having the need to open multiple containers to find the right one. It is advisable to use this jar for storing dry items like pulses, chocolates, cookies, snacks and spices."
3435,"Namkeen Snack - Chana Dal, Split, Red",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,89,129,"Healthy, Baked Snacks",,Bb GoodDiet Chana dal split- Red is made of Bengal gram (chana) which is a protein-rich supplement. Regular consumption of Bengal gram helps in lowering the cholesterol level in the bloodstream. Chana is also good for diabetic patients as it has a low glycaemic index. Get served with good health with Bb GoodDiet chana dal split-Red. Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier & healthier you.
3436,Chicken Seekh Kebab,Snacks & Branded Foods,Frozen Veggies & Snacks,ITC Master Chef,308.75,325,Frozen Non-Veg Snacks,3.8,"Juicy chicken mixed with our secret mixture of spices and herbs to create mouth-watering chicken seekh kebabs for zingy Indian deliciousness. Enjoy with mint chutney and onions on the side. Put them in a roll, sandwich or even rice to make a complete meal. ITC Master Chef is a high-quality brand and its products are of the highest standard in taste & quality."
3437,Dazzle Secret Garden Dinner Set - White,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,1229,1895,Dinner Sets,4.1,"Cello Opalware is produced in the most advanced state-of-the-art manufacturing facility using German Technology. Cello Opalware has beguiling designs delicately poised between fantasy and fiction. Tableware that is infused with beauty and strength, charming dishes, gaily patterned in colourful new designs serve every purpose. Bacteria free-non porous and hygienic for your family.
100 percent vegetarian with bone ash free and made of green material. Thermal resistant, no cracks on heating food in the microwave from refrigerator and stackable.  It's a break, chip and scratch-resistant product made for everyday use. It is fully tempered up to 3X stronger, recyclable, easy to clean"
3438,Bhringaraj Herb Powder - Supports As Natural Hair Tonic,Beauty & Hygiene,Health & Medicine,Bixa Botanical,195,195,Ayurveda,,"Bhringaraj or maaka or Eclipta alba is an Ayurvedic herb found throughout India and the South-western U.S. Its name means “ruler of the hair” and so is considered to be the best Ayurvedic remedy for hair loss, premature greying and is also said to help make hair dark, dense and lustrous. Bhringaraj has also been used in Traditional Ayurveda as a rejuvenating tonic for the liver, for various skin conditions and as a tonic for the mind. Bhringaraj Powder can be mixed in water with herbs like Henna, Amla, Shikakai, Tulsi and applied on hair in paste form. These herbs can also be incorporated into a coconut oil infusion and used as a conditioning oil treatment, which supports shiny and smooth hairs and keeping away hair ailments.
Regular intake of Eclipta alba promotes a Rejuvenating tonic for Teeth, Hair and Liver. Bhringaraj supports as natural bile secretion regulator and prevention of Liver cell damage. Ayurveda mentions Eclipta alba usefulness in skincare internally and externally. Internally Bhringaraj improves blood flow to the skin and purifies it, so useful in various skin ailments."
3439,Gulabari Moisturizing Cold Cream (Skin Moisturiser),Beauty & Hygiene,Skin Care,Dabur,44,44,Face Care,4,"EAN Code: 8901207014987  Manufactured & Marketed by: Dabur India Limited
Registered Office: 8/3, Asaf Ali Road, 
New Delhi-110002  Best before 05-06-2022  For queries call 1860 123 1000"
3440,Stainless Steel Lunch Box/Tiffin Set - Pink - BB 570 1,"Kitchen, Garden & Pets",Steel Utensils,Tedemei,449,565,Lunch Boxes,,"Pack lunch for your loved ones easily with this uptown lunchbox by Tedemei. Made of high-quality stainless steel on the inside, the lunch box is sturdy, durable, and easy to clean. On the outside, it is made of high-quality plastic. The lunch box comes with an airtight flap and lock lid, which helps in keeping the food fresh for a longer time. Also, the lid closes tight enough to store solid as well as liquid food without worries of spillage. With a catchy pink colour with a smart design, this lunch box is perfect to carry to the office."
3441,Soya Bean Oil,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Fortune ,167,190,Soya & Mustard Oils,4.2,"Fortune Soya Health Oil is processed with next-generation High Absorbent Refining Technology (H.A.R.T). So, your everyday meals not only taste better but also make your Bones stronger and your Heart and Eyes healthier."
3442,"Stainless Steel Kadai - Induction Bottom With Glass Lid, 24 cm","Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,999,1195,Kadai & Fry Pans,4.5,"Create those nutritious and flavourful recipes quickly with minimal effort by bringing home this 24 cm Induction Friendly Kadhai from Vinod. It prevents food from getting burnt. It is ergonomically designed using high-quality stainless steel, this kadhai ensures even distribution of heat while preventing food from frothing or getting burnt. Easy to clean and is dishwasher-safe, this kadhai can be easily cleaned and maintained after every use. It is suitable for all cooktops. This kadhai comes with an induction base which makes it perfect to be used on all types of cooktops including gas stoves and induction cooktops."
3443,Chicken Chili Salami,"Eggs, Meat & Fish","Sausages, Bacon & Salami",ALF-FARMS,145,145,Chicken Sausages,,"Alf-Farms, An Upcoming Brand Specialized In Ready To Cook Food Category. It Introduces Food Items That Are Traditional And Can Be Made At A Very Short Time Frame. The Alf-Farms Chicken Chilli Salami Keeps The Tradition Of This Brand And Allows The User To Make It A Quick Chicken Dish. It Not Only Provides A Great Taste But Also Gives You A Good Amount Of Nutritional Value."
3444,Pickle - Cut Mango,Snacks & Branded Foods,Pickles & Chutney,Nirapara,46,46,Lime & Mango Pickle,4.8,Nirapara Pickle - Cut Mango is prepared by fresh mango. It is very salty and spicy. It will be served with meals.
3445,Crunchy Millet Muesli - Almonds & Raisins,Snacks & Branded Foods,Breakfast Cereals,Soulfull,550,550,Muesli,4.2,"Made with whole grains, and nothing but the grains. With 40% Oats which are high on fibre, no added sugar or preservatives, yet tasty. And because we are special like that, we are the only ones who make our muesli using millets. Go ahead, pinch yourself. Isn’t breakfast time also crunch time? Our Crunchy Millet muesli is going to make it tastier with its Almonds and Raisins. Serve with a glass of cold or warm milk"
3446,Marie Light Biscuits - Active,Snacks & Branded Foods,Ready To Cook & Eat,Sunfeast,5,5,Breakfast & Snack Mixes,4.5,"EAN Code: 8901725114848  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com"
3447,Milk Boiler - Steel,"Kitchen, Garden & Pets",Cookware & Non Stick,Le Kaviraj,499,653,Cook And Serve,1.8,"Made from prime stainless quality, glossy finish and sturdy bakelite handles. Ideal for heating milk without spillage."
3448,Stainless Steel Induction Bottom Outer Lid Pressure Cooker - Orra,"Kitchen, Garden & Pets",Cookware & Non Stick,Greenchef,1499,1825,Pressure Cookers,,"Greenchef Orra Pressure cooker is the premium Stainless-Steel pressure cooker ideal for cooking curries, rice, soup and vegetables for a small family. The Stainless Steel weight and vent tube assembly ensures durability, the gasket release system ensures safety while cooking, the bakelite handle ensures smooth handling, the anti-bulging base prevents the Greenchef pressure cooker from becoming concave and retains its flatness in the bottom , the food grade rubber gasket makes cooking healthier, the lead free safety valve ensures that there is no contact of the food with poisonous lead content."
3449,Almonds - Honey Roasted with Sesame,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,330,330,Other Dry Fruits,3.3,"Our delicately flavoured and roasted nuts are made in small batches, to retain the taste and flavours. It is mad in our certified organic facility with extreme care on hygiene, using our own formulated recipe, with no added preservatives, under the care of our Star Chef Amit. Something interesting to know about the making process is that we play the chefs music of choice as we believe that really Good Food needs that extra touch beyond the pure ingredients and the perfect recipe! We hope you enjoy our products as much as we enjoyed making them!"
3450,Brahmihills - Capsule,Beauty & Hygiene,Health & Medicine,Herbal Hills,195,195,Supplements & Proteins,,"Helps in cognitive brain functions and Has anti stress properties  For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
3451,Instant Polish - Black Leather,Cleaning & Household,Car & Shoe Care,Kiwi,49,49,Shoe Polish,4.2,"Easy to use liquid wax polish
Concentrated formula, wax-rich formulation to nourish and protect the leather.Unique long-lasting two-layer sponge with a controlled dosage"
3452,Organic - Almond,"Foodgrains, Oil & Masala",Organic Staples,Turn Organic ,105,105,Organic Dry Fruits,4.5,"Turn Organic brought to you its Premium, fresh and healthy Organic Almond with no added pesticides and fertilizers."
3453,Mango Khatta Mitha,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120,120,Mukhwas,3.9,Dried Mango slices with a zest of grounded spices to tickle the taste buds. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.
3454,Organic Tulsi,Beauty & Hygiene,Health & Medicine,Maharishi Ayurveda ,170,170,Ayurveda,,"Maharishi Ayurveda brings you organic Tulsi Extracts for the health benefits this age-old herb provides. Tulsi, also known as ""Holy Basil,"" has been used by many cultures around the world for thousands of years. Described in the Vedas as the most sacred holy plant, it was traditionally used in religious ceremonies and ayurvedic formulas. Called ""the wonder herb,"" it's a common ingredient in ayurvedic throat syrup to soothe the occasional cough.Promotes respiratory health, supporting the lungs and bronchial system. The tablets contain vitamins A and C, and antioxidants that help fight free radicals and supports a healthy pulmonary system. It also helps reduce ama (toxins)."
3455,"Glass Casserole With Lid - Round, Angelica","Kitchen, Garden & Pets",Crockery & Cutlery,Cello,659,849,Glassware,4.3,"The fusilli spiral on the wooden spoon is just right. We won't guarantee the effect to replicate with any other bake ware. As it's made of borosilicate glass, our bakeware can handle temperature as high as 300 degree Celsius. So you can use them to make cookies too. Made of borosilicate glass and is guaranteed to withstand temperatures of up to 300-degree centigrade."
3456,"Bonechina Milk Mug - Yellow, Leo Print","Kitchen, Garden & Pets",Crockery & Cutlery,Claycraft,145,145,"Cups, Mugs & Tumblers",5,"Enjoy your beverages along with these various designs. Presenting to you the best and classic designs along with a variety of colours. This product will enhance your crockery collection and will become a style statement for you. The designs are new, quirky, classy, up-to-date and are a must-buy for you."
3457,Gotukola Indian Ginseng Rejuvinating Beauty Elixir,Beauty & Hygiene,Skin Care,Just Herbs,1195,1195,Face Care,3,"This multi-tasking Elixir facial serum is a synergistic blend of treasured Indian herbs. It nourishes and restores a natural glow and youthfulness to tired, ageing and pigmented skin. Plant polyphenols, carotenoids and flavonoids present in the Elixir of beauty, prevent and reverse free-radical and DNA damage on the skin. This also blocks the inflammatory changes which happen during the skin ageing process."
3458,"Deluxe Granite Non-Stick Omni Tawa, 300 mm (36303)","Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,1190,1400,Tawa & Sauce Pan,3.9,"Presenting Prestige Omega Deluxe Granite is made using German technology whose coating last three times longer than ordinary non-stick cookware. Its special spatter-coated surface looks new for longer and is also metal-spoon friendly. What's more, on both gas and induction cook-tops All-in-all, this Prestige cookware is truly layered above the ordinary."
3459,Baby Oil,Baby Care,Baby Bath & Hygiene,Pigeon,235,235,Baby Oil & Shampoo,,"This is a fortified formula that nourishes the delicate skin of your baby. A rich blend of olive oil, rosehip oil and chamomile extract, makes it a perfect massage oil for the tender skin of your baby. Regular massage nourishes the skin and stimulates the blood circulation, imparting a wonderful glow to the skin. It is anti-irritant, thus making itself suitable for the newborns This product is colour and fragrance-free. Dermatologically tested, this is hypoallergenic."
3460,"Eggs - Brown, Antibiotic Free","Eggs, Meat & Fish",Eggs,Just Laid,72,72,Farm Eggs,,"Just Laid Healthy Golden Eggs are fresh brown eggs from people with 4 decades of experience in farming. These are antibiotic free and freshly sourced from own farm. Unlikely the common brown eggs, these eggs are odourless and unfertilized eggs from birds. It is rich in protein and helps fight against cholesterol and calories. These eggs come with stronger shells."
3461,"Babies Bib - Butterfly Print, Assorted Colours",Baby Care,Feeding & Nursing,Quick Dry,175,175,Bibs & Napkins,5,Bibs are fastened around a child's neck to keep its clothes clean while eating. They are nothing but a garment worn hanging from the neck on the chest to protect clothing from accidentally spilt food. It comes in a variety of colours with attractive print designs. This pack contains 4 bibs.
3462,Printed Fancy Napkin,Cleaning & Household,"Disposables, Garbage Bag",Mystique,135,135,Toilet Paper,3.4,"Mystique Fancy Printed Napkins are recyclable and come packaged in a polycase. It can be used for wiping the mouth and fingers while eating. These fancy napkins come in a pack of 3, each having 50 pulls."
3463,Deo Body Spray - Dynamic Pulse,Beauty & Hygiene,Fragrances & Deos,Adidas,198,220,Men's Deodorants,4.2,"The true sports brand for men and women, offering the best and most complete personal care line to be at your best 24/7/365 in any situation. Whether you like, love or live sports, Adidas Body Care unlocks your full potential. So get ready. Inspired by the sensations felt during an intense sport session, Adidas Dynamic Pulse deodorant body spray recalls the pleasant feeling of heat that invades the body during exercise and the pounding surge of the heart in the ears.Providing a long-lasting 24-hour feeling of freshness after each application, this vitalizing body spray brings up the aromatic green explosion of rosemary and cedar leaves, enveloped in an ozonic atmosphere. Enriched with elegant lavandin, thyme and musk boosted by the juicy accents of green apple, this fragrance evokes the feeling of unstoppable masculinity. Created for the dynamic men with full of self-confidence, Adidas Dynamic Pulse delivers a burst of vitalizing power and freshness after a tough workout session."
3464,Deodorant Body Spray - Glam for Woman,Beauty & Hygiene,Fragrances & Deos,Police,399,399,Women's Deodorants,,"Created for the modern and versatile man, Police is a premium fragrance and deo brand that can give todays man the push he needs especially in the hot summer months. This collection of deodarants spray are found in sleek, tall flacons that are not only stylish but handy as well. So be sure to get noticed with the strong masculine scents from Police.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
3465,Organic Idly Podi - Flaxseed,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80,80,Breakfast & Snack Mixes,3.3,"This is a Flaxseed flavour Idly Podi that can be had with Idli, Dosa or Adai/Cheela. Flaxseed is considered to be a ""wonder food"" and helps manage cholesterol and blood-sugar. Flaxseed is rich in Omega 3 fatty acid, shields the heart, controls diabetes, protects against inflammation, controls hormonal imbalance and nourishes hair and skin. Certified organic products are only used."
3466,Honey Lemon Face Wash With Jojoba Beads,Beauty & Hygiene,Skin Care,Vaadi,158.4,176,Face Care,,"A perfect cleanser that only rids the face of excess oil, but also ensures that it doesn’t dry up. Lemon’s acidic nature breaks down the excessive oil molecules and unclogs the pores, thus fighting acne break-outs and blackheads. Honey, a natural humectant, keeps the skin hydrated and also fights acne."
3467,Himalayan Pink Rock Salt Premium - Fine Grain,Gourmet & World Food,Cooking & Baking Needs,Jivika Naturals,75,75,Exotic Sugar & Salt,,"Rock Salt, being a naturally occurring mineral-rich salt has got many health benefits and it is free of toxins & impurities, which keeps it Pure & Organic."
3468,Organic Toor Dal/Togari Bele,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,195,220,Organic Dals & Pulses,4.1,"Pulses are a boon to vegetarians and vegans. Legumes including Toor dal are of major importance in our diet contributing as the main source of plant protein. Among legumes, Toor dal is predominantly grown and consumed in India and is also known as red gram and arhar dal. We cannot find a kitchen in India without Toor dal.
Since 24 Mantra Organic Toor Dal/Tur Dal/Arhar Dal is unpolished it is a good source of dietary fibre with minimal processing. Toor Dal/Tur Dal/Arhar Dal is a good source of minerals such as magnesium and iron. It is 100 % Organic, grown without synthetic pesticides and grown without synthetic GMOs."
3469,Dark Multi Flora Honey,Gourmet & World Food,"Sauces, Spreads & Dips",Nutty Yogi,289,289,Honey & Maple Syrup,5,"Nutty Yogi brings to you Multiflora Dark Honey which good for your health. It is sweet, thick liquid with dark amber colour, and the taste may vary from mild to rich. It can be used as a digestive aid, as well as for its antibacterial and anti-inflammatory properties. It is natural and 100% organic. It is free from any added substances."
3470,Aviyal Curry,Snacks & Branded Foods,Ready To Cook & Eat,Tasty Nibbles,95,95,Heat & Eat Ready Meals,4,"Ingredients  Vegetables, Grated coconut, Water, Coconut Oil, Green chilli, Salt, Shallots, Turmeric powder, Curry leaves, Cumin powder, Garlic"
3471,Chai/Bone China Tea/Coffee Cups - Orange & Blue Geometrical Pattern,"Kitchen, Garden & Pets",Crockery & Cutlery,Claycraft,359,507,"Cups, Mugs & Tumblers",4.6,"Presenting to you the artistically designed and printed tea/coffee cups that come in a set of 6. These Bone China cups come in a variety of designs, colours, shapes & sizes. The width and shape of the handle are designed specifically to get comfort, style and elegance, all in one. Serve hot tea and beverages to your guests in these multicoloured variety cup sets."
3472,Newyork Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Playboy,679.2,849,Eau De Toilette,2.9,"Own the day and refresh your imagination. With zesty lime top notes, a refreshing heart of green apple and a sharp vetiver base, the masculine signature scent of New York For Him is as distinctive and diverse as its namesake, fresh aromatic signature scent."
3473,Instant - Ragi Dosa Mix,Snacks & Branded Foods,Ready To Cook & Eat,Sanketi Adukale,125,125,Heat & Eat Ready Meals,4.4,Instant ragi dosa mix- the power of ragi rolled into your dosa- high of nutrition and good to eat
3474,Vanilla Drop,"Foodgrains, Oil & Masala",Masalas & Spices,Spice Liquid,645,645,Whole Spices,,"Spice Liquid Vanilla Drop is an all-natural blend that has major benefits for your body and brain. Spice Drop’s Vanilla Extract is strongly aromatic and contributes a warm and floral note. It's a gentle but distinct flavour that complements many other spices and foods. It can be used in baking, desserts, milkshakes ice creams. The sweet, warm, rich aroma of vanilla extract not only soothes the palate, but also calms the mind. The vanilla extract also restores the skin. The extract is rich in antioxidants and phenolic compound vanillin that helps to neutralize free radicals and prevent skin damage.
Spice Liquid are concentrated natural extracts that retain all the natural goodness and authentic taste of the spices & herbs."
3475,French - Fries,Snacks & Branded Foods,Frozen Veggies & Snacks,McCain,228,285,Frozen Veg Snacks,4.1,McCain French - Fries 1.25 kg
3476,"Stainless Steel Pizza Server - No. 9, Silvera","Kitchen, Garden & Pets",Kitchen Accessories,Anjali,65,82,"Strainer, Ladle, Spatula",4.2,The neat and clean design of this elegant pizza server makes it essential for your home. It is made to be durable and from high-quality stainless steel. This pizza server will survive multiple wash cycles and not lose its shine. It is easy to use for serving pizza.
3477,Charcoal Face Mask,Beauty & Hygiene,Skin Care,INATUR ,360,450,Face Care,4,"Charcoal Mask is a deeply cleansing and purifying mask that helps to detoxify and purify the skin. It gently removes all the skin impurities and is especially beneficial for removal of tan from the skin.It is infused with Charcoal powder - that is proven to adsorb multiple times its own mass in harmful substances like toxins, impurities, bacteria, and dirt and helps fight acne, Basil extracts - an excellent skin rejuvinator that prevents acne, pimples, skin infections and controls sebum, Lemon Oil - that has antiseptic and astringent qualities, Neem extracts - that has anti bacterial properties for clearer skin."
3478,Rayalaseema Podi/Chutney Masala/Idli Dosa Powder/Gun Powder Masala,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,225,225,"Curry Paste, Coconut Milk",,"Podi, also known as gunpowder, is from the Rayalaseema district of Andhra Pradesh, distinct in its taste and authenticity. As the name suggests, it's not only an excellent protein boost but also has an amazing soul-satisfying feeling when mixed with clarified butter/ghee and eaten with rice, idli and dosa. Podi can be sprinkled as a spicy taster on snacks such as tempuras, dhokla, Khandvi, khakras, grilled cheese etc."
3479,White Perfect - Anti-Dullness Scrub,Beauty & Hygiene,Skin Care,Loreal Paris,400,400,Face Care,5,"L'Oreal Paris White Perfect Scrub that is enriched with powerful exfoliating beads that boost skin complexion by minimizing visible pores and refining the skin. An intense and effective anti-dullness scrub created by L'Oreal Skincare Laboratories for brighter and more refined skin. Instantly exfoliates the skin, gently unclogs pores to reveal a more radiant complexion. Exfoliating beads to gently remove dead skin cells and enhance the complexion.Dermatologically tested. Suited for oily, dry & all skin types."
3480,Mint Sauf Green Tea,Gourmet & World Food,Drinks & Beverages,Chaayos,299,299,Gourmet Tea & Tea Bags,,"This Mint Sauf Green Tea is an Immunity-Boosting Green Tea - Green Tea is a rich source of antioxidants have always been known for is immunity-boosting properties. This refreshing blend of mint and saunf (fennel) will provide the perfect relaxed and soothing taste and is a perfect stress buster. Convenience Of Tea Bags - Simple, fast and consistent. Tea Bags let you make your tea the same great taste every time. Pyramid tea bags provide superior infusion. Great Taste Always - Only the best quality whole leaves green tea from Darjeeling are used to give the sweet and pure quality. Fennel ground to perfection to give the apt strength of flavour. Freshness Seal Packs - All teabags are individual wrapped in freshness protecting packaging, to ensure you get the goodness in the first and last sip alike."
3481,"Pistachios - Roasted & Salted, Premium Californian",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,592,790,Roasted Seeds & Nuts,4.1,"Pistachios are a wonderful, fun & Tasty snack, which are lightly salted. Crack open the shells to treat your taste buds for aÂ snackingÂ sensation."
3482,"Glass Water Bottle With Round Base - Yellow, B1363","Kitchen, Garden & Pets",Storage & Accessories,BB Home,209,499,Water & Fridge Bottles,4.5,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
3483,Lapinue Square Dinner Plate Set,"Kitchen, Garden & Pets",Crockery & Cutlery,Corelle,3619,4410,Plates & Bowls,,"It is made of patented vitrelle 3 layer glass, space saving, non-porous. It is break, crack & chip resistant. It is stackable and lightweight. It is stain resistant. The special application method fuses the patterns into the base glass. The designs are therefore long lasting and will not fade, even after years of use. It has a white base with a floral pattern. It is square in shape."
3484,"Thin Cookie - Garam Masala, Gluten Free","Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Fresho Signature,109,149,Premium Cookies,,Cherish the heavenly taste of these incredibly delicious Fresho Signature gluten-free thins. Every sensational bite of this artisanal handmade treat is sure to leave you craving for more.
3485,Health & Nutrition Drink - Chocolate Flavour,Beverages,"Health Drink, Supplement",Horlicks,221,221,Kids (5+Yrs),4.3,"Health Drink that has nutrients to support immunity.Horlicks is Clinically proven to improve 5 signs of growth. Clinically proven to make kids Taller, Stronger & Sharper. Scientifically proven to improve Power of Milk"
3486,"Bowl Set - Stack, Small","Kitchen, Garden & Pets",Crockery & Cutlery,Ocean,544,544,Glassware,,"Ocean Bowl - Set of 6 When eating small portion size is in trend, this sweet and simple Ocean Stack Bowl Small - Set Of 6 is suitable to serve any type of dessert. Tapering shape with wide mouth displays your dish in full view. This set comes with 6 small bowls ideal for your rasugulla, ice-cream, pudding, kheer, custard or any type of sweet. Add this beauty to your collection as they are sturdy and multipurpose. Moderate in price this Ocean Stack Bowl Small - Set of 6 is also an excellent gift option too. Perfect for home or for commercial set up buy online today."
3487,Man - Cool Wind Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Nike,758.1,798,Eau De Toilette,,"Baldessarini Ambre Cologne is built around a whisky accord and complemented by top notes of mandarin and red apple, leading to a heart of violet, offset by a leather accord. With a base that blends notes of amber, oakwood, vanilla and labdanum.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
3488,Maharaja Plastic Basket With Lid - Small,Cleaning & Household,Bins & Bathroom Ware,Nakoda,119,148,"Laundry, Storage Baskets",2.7,"All the products are made of BPA free virgin plastic using food-grade material. The range spreads across food storage containers, dust bins, storage bins, buckets, laundry baskets, shopping baskets, wastebaskets, trays, jugs (pitchers), glasses, plates, bowls, pet bowls, stools, tubs, etc. Stable colours and enduring designs that the world loves, great versatility in the use and international quality standard is what nakodaplast product is all about and when you think it's a time new one give it a wipe with soap water and sponge and your nakoda plast product will be as good as new again."
3489,Deodorant Body Spray - Fresh,Beauty & Hygiene,Fragrances & Deos,Old Spice,179.1,199,Men's Deodorants,3.8,"Old Spice brings you a broad line of fragrance products for men who live a dynamic and unconventional life. Distinctively masculine scents that invigorate and refresh. Old Spice Deodorant Spray envelops you in a clean, manly scent that has served mankind for decades, turning your armpit house into an armpit home  For Beauty tips, tricks & more visit https://bigbasket.blog/"
3490,Jam - Apricot,Gourmet & World Food,"Sauces, Spreads & Dips",BHUIRA ,269.1,299,"Jams, Marmalade, Spreads",4.6,"Made by the women of Bhuira village in Himachal, this apricot jam is an absolute delight for everyone. It is made from properly ripened and hand plucked apricots.

This jam is packed with flavor and tastes delicious with home-made scrumptious parathas and toasted bread. Have it over a scoop of delectable vanilla ice cream and savor every bite.

It is made with sulphurless sugar and edible vegetable oil. So, be rest assured that it is healthy and has no added preservatives. It is unique and different from other jam brands out there.

So, don’t wait any more and grab your stocks now coz they’re pretty hard to find!"
3491,"Glass Bottle With Plastic Cover - White, BB1307","Kitchen, Garden & Pets",Storage & Accessories,DP,219,399,Water & Fridge Bottles,,"Keep yourself hydrated by carrying this smart-looking bottle, whenever stepping out from the house. The glass body offers excellent finishing with enough durability and strength. It comes with a holder, which allows you to hold with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
3492,Shin Cup Noodle,Gourmet & World Food,"Pasta, Soup & Noodles",Nongshim,99,99,Imported Noodles,4.5,"Nongshim Gourmet Shin Cup Noodle Soup is the number one raman in Korea and it is conveniently available for individual consumption. It has a very spicy flavour that many enjoy and is easy to put together. With the recent changes in the market, dried noodle, cold noodle, rice noodle which are not fried are newly introduced as wellness products. Nongshim's Shin Ramyun Noodle soup is instant dried noodles which are easy to eat with the features of existing Ramyuns.
 Benefits 
1. It's packed with essential nutrients and a lot of energy, it is the right thing to start your day with.
2. Make your breakfasts healthier and tastier with this non added preservative range of soups from Nongshim."
3493,"Lunch Bag - With 3 Container, Big Bite, Blue","Kitchen, Garden & Pets",Storage & Accessories,Cello,329,460,Lunch Boxes,3.8,"Get the feel of homemade food on the go. Cello brings to you its fresh advent with soft touch lunch pack series embracing newfangled collections under its hub. This trend setter series will match up your elegance wherever you go. The containers are made up of stainless steel material which provides better strength and durability. You can carry different kinds of food without the fear of leakage. This lunch set is perfect for carrying lunch to office, school or college. The set contains 1 big container and 2 small containers with a spoon and it comes along with a trendy thermal bag."
3494,Taft Shine Hair Lacquer Mega Strong 5,Beauty & Hygiene,Hair Care,Schwarzkopf,395,395,Hair & Scalp Treatment,,"All Weather Taft brilliant shine booster shine hair lacquer intensive shine like a 10 carat brilliant mega strong 5, and 24 hold no stickiness. It is a product that gives the brilliant shine booster for intensive shine 24 hold without stickiness, no residues, easily brushes out does not weigh down your hair and protect it from dryness. The special All Weather Taft formulation protects your hair against the wind and humidity and helps to protect against UV rays."
3495,Diced Cheese Blend,"Bakery, Cakes & Dairy",Dairy,Amul,444,455,Cheese,4,It is a blend of mozzarella and cheddar. A unique product from the house of Amul. Just sprinkle and enjoy the Cheesy delicacies.
3496,Perfumed Herbal Phenyle - Jasmine,Cleaning & Household,All Purpose Cleaners,Smart Home,249,249,Floor & Other Cleaners,3.9,"Smart Home Perfumed Herbal Phenyle has an advanced cleaning formula and can be used for cleaning floors, kitchen platforms, toilets, bathroom, sinks, tubs, tiles, marbles, granites with minimum efforts. The concentrated disinfectant kills up to 99.9% germs and instantly removes tough stains and dirt and gives a shine and whiteness to the floor. Further, it leaves behind a pleasant and natural fragrance that freshens up the complete environment. It is recommended to keep out of the reach of children."
3497,Marble Tea Cake,"Bakery, Cakes & Dairy",Cakes & Pastries,Fresho Signature,159,159,Tea Cakes & Slice Cakes,4,"The original Old Fashioned Tea Cake, handmade from scratch and flavoured with memories of home. Relish this delicious cake along with tea or coffee and enjoy a peaceful time. Made with premium quality ingredients, the taste is surely going to tame your tastebuds. Enjoy this sweet delight and say bye to small hunger pangs."
